time_freq,model_name,auc_roc
Daily,LSTM_4,0.7202
Daily,LSTM_8,0.2752
Daily,LSTM_4_4,0.733
Daily,LSTM_8_4,0.7291
Daily,LSTM_8_8,0.7021
Daily,BiLSTM_4,0.7171
Daily,BiLSTM_8,0.2616
Daily,BiLSTM_4_4,0.7289
Daily,BiLSTM_8_4,0.7129
Daily,BiLSTM_8_8,0.5083
Weekly,LSTM_4,0.7406
Weekly,LSTM_8,0.5913
Weekly,LSTM_4_4,0.5936
Weekly,LSTM_8_4,0.9215
Weekly,LSTM_8_8,0.7275
Weekly,BiLSTM_4,0.6441
Weekly,BiLSTM_8,0.753
Weekly,BiLSTM_4_4,0.7375
Weekly,BiLSTM_8_4,0.7358
Weekly,BiLSTM_8_8,0.7077
Monthly,LSTM_4,0.7725
Monthly,LSTM_8,0.3175
Monthly,LSTM_4_4,0.6155
Monthly,LSTM_8_4,0.5811
Monthly,LSTM_8_8,0.6693
Monthly,BiLSTM_4,0.7504
Monthly,BiLSTM_8,0.6376
Monthly,BiLSTM_4_4,0.5661
Monthly,BiLSTM_8_4,0.5608
Monthly,BiLSTM_8_8,0.4145
