time_freq,model_name,auc_roc
Daily,LogisticRegression,0.7222
Daily,xgb,0.4354
Daily,BalancedRandomForestClassifier,0.4074
Daily,EasyEnsembleClassifier,0.6918
Daily,RandomForestClassifier,0.4251
Weekly,LogisticRegression,0.7251
Weekly,xgb,0.4793
Weekly,BalancedRandomForestClassifier,0.477
Weekly,EasyEnsembleClassifier,0.6853
Weekly,RandomForestClassifier,0.4512
Monthly,LogisticRegression,0.7263
Monthly,xgb,0.4535
Monthly,BalancedRandomForestClassifier,0.4245
Monthly,EasyEnsembleClassifier,0.6675
Monthly,RandomForestClassifier,0.3938
